Filename, /nodc/web/data.nodc/htdocs/nodc/archive/metadata/approved/iso/NDBC-CMANWx.xml
Master Score, 91
Run Date, 2017-06-02 19:31:34.847976


Element, Rule, Exists, Scored, Rationale, Text, Descent Text, XPath
"parentIdentifier","Recommended","False","False","['no element at given xpath']","None","None","/gmi:MI_Metadata/gmd:parentIdentifier"
"lineageStatement","Conditional","True","False","[]","None","The data were produced by the National Data Buoy Center (NDBC) and are archived at the NOAA National Centers for Environmental Information (NCEI). The original data before January 2011 were in the F291 format and have been converted into NetCDF by NCEI.","//gmd:DQ_DataQuality/gmd:lineage//gmd:statement"
"crossRefType","Recommended","True","False","[]","sciencePaper || userGuide || collection","None","//gmd:MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation[gmd:associationType/gmd:DS_AssociationTypeCode/@codeListValue = 'crossReference']/gmd:initiativeType/gmd:DS_InitiativeTypeCode/@codeListValue"
"spatialExtent","Conditional","True","True","[]","None","-177.8 || -66.6 || 0 || 61.1","//gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox"
"coverageRange","Not Required","False","False","['no element at given xpath', 'attributes subcategory not scored because failed special logic parser (features elements scored) - now extra credit']","None","None","//gmd:contentInfo//gmi:rangeElementDescription/gmi:MI_RangeElementDescription"
"instrumentKeywordThesaurus","Recommended","True","False","[]","None","NODC INSTRUMENT TYPES THESAURUS || Global Change Master Directory (GCMD) Instrument Keywords","//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'instrument']/gmd:thesaurusName/gmd:CI_Citation/gmd:title"
"topicCategory","Conditional","True","True","[]","environment || oceans || climatologyMeteorologyAtmosphere","None","//gmd:MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode"
"platformID","Required","True","True","['acquisition subcategory scored because passed special logic parser']","None","FIXED PLATFORM","//gmi:MI_AcquisitionInformation//gmi:MI_Platform/gmi:identifier//gmd:code"
"hierarchyLevelName","Not Required","False","False","['no element at given xpath', 'failed content check; therefore, exists = false']","None","None","//gmi:MI_Metadata/gmd:hierarchyLevelName"
"source","Required","False","False","['no element at given xpath', 'not scored because failed if logic parser', 'lineage subcategory not scored because failed special logic parser (aquisition elements scored) - now extra credit']","None","None","//gmd:DQ_DataQuality/gmd:lineage/gmd:LI_Lineage//gmd:source"
